DrugBank,B3DB
Choline,choline
Biotin,biotin
Ascorbic acid,l-ascorbic acid
Spermine,spermine
Calcitriol,calcitriol
Tryptophan,l-tryptophan
Glycine,glycine
Pyridoxal,pyridoxal
Thiamine,thiamine
Folic acid,folic acid
Vitamin E,vitamine(alpha-tocopherol)
Pyridoxine,pyridoxine
Cholecalciferol,cholecalciferol
Menadione,menadione
Fluvoxamine,fluvoxamine
Baclofen,baclofen
Adenine,adenine
Amphetamine,amphetamine
Nicotine,nicotine
Lorazepam,lorazepam
Ramipril,ramipril
Ethchlorvynol,ethchlorvynol
Flunisolide,flunisolide
Carbidopa,carbidopa
Betaxolol,betaxolol
Fluconazole,fluconazole
Phentermine,phentermine
Indecainide,indecainide hydrochloride
Sildenafil,sildenafil
Caffeine,58-08-2
Tramadol,tramadol
Pyrimethamine,pyrimethamine
Reserpine,reserpine
Oseltamivir,oseltamivir
Citalopram,citalopram
Adapalene,adapalene
Dofetilide,dofetilide
Midodrine,midodrine
Succinylcholine,succinylcholine
Ticlopidine,ticlopidine hydrochloride
Nelfinavir,nelfinavir
Torasemide,torasemide
Pantoprazole,pantoprazole
Bethanidine,bethanidine sulfate
Lovastatin,lovastatin
Enflurane,enflurane
Eletriptan,eletriptan
Moxifloxacin,moxifloxacin
Oxyphenonium,oxyphenonium
Guanadrel,disulfiram
Pregabalin,pregabalin
Isoetharine,isoetharine
Cefotiam,cefotiam
Temazepam,temazepam
Methyclothiazide,methyclothiazide
Aminosalicylic acid,clofazimine
Butabarbital,butobarbitone
Nevirapine,129618-40-2
Butalbital,butalbital
Pipobroman,pipobroman
Oxiconazole,oxiconazole
Reboxetine,reboxetine
Milrinone,milrinone
Cabergoline,cabergoline
Ziprasidone,ziprasidone
Phenytoin,phenytoin
Medrysone,medrysone
Mesalazine,mesalamine
Clotrimazole,clotrimazole
Carmustine,bis(chloroethyl)nitrosourea (carmustine) (bcnu)
Metoprolol,metoprolol
Sulfanilamide,sulfanilamide
Ropinirole,ropinirole (skf101468)
Cycloserine,cycloserine
Dicoumarol,dicumarol
Anagrelide,anagrelide hydrochloride
Diatrizoate,sodiumamidotrizoate
Topiramate,topiramate
Cefmetazole,cefmetazole
Theophylline,theophylline
Betazole,betazole
Chlorotrianisene,chlorotrianisene
Lidocaine,lidocaine
Olmesartan,olmesartan medoxomil
Venlafaxine,venlafaxine
Amsacrine,amsacrine
Amcinonide,amcinonide
Argatroban,argatroban
Chlorambucil,chlorambucil
Disopyramide,disopyramide
Atomoxetine,tomoxetine
Clemastine,clemastine
Morphine,morphine
Liothyronine,liothyronine
Pamidronic acid,pamidronate
Etomidate,etomidate
Flucloxacillin,flucloxacillin
Bupivacaine,bupivacaine
Mitomycin,mitomycin
Talbutal,talbutal
Dapiprazole,dapiprazole
Pentobarbital,pentobarbital
Zolmitriptan,zolmitriptan
Valproic acid,valproate
Gefitinib,gefitinib
Acetaminophen,acetaminophen (p-acetamidophenol)
Codeine,codeine
Amitriptyline,50-48-6
Ibutilide,ibutilide
Dihydroergotamine,dihydroergotamine
Fluorometholone,fluorometholone
Indomethacin,indomethacin
Bexarotene,bexarotene
Hydromorphone,hydromorphone
Atenolol,atenolol 
Floxuridine,floxuridine
Omeprazole,omeprazole
Methadone,methadone
Ethambutol,ethambutol
Terfenadine,terfenadine
Pyrazinamide,m-xylene
Diltiazem,diltiazem
Cetirizine,levocetirizine
Protriptyline,protriptyline
Trimethadione,trimethadione
Metixene,metixene
Clobazam,22316-47-8
Alfuzosin,alfuzosin
Aminohippuric acid,4-aminohippuric acid
Tioguanine,thioguanine
Buclizine,buclizine
Mefloquine,mefloquine
Nitisinone,nitisinone
Chlorzoxazone,chlorzoxazone
Methylergometrine,methylergonovine
Doxylamine,doxylamine
Grepafloxacin,grepafloxacin
Aztreonam,aztreonam
Megestrol acetate,megestrolacetate
Mirtazapine,mirtazapine
Meprobamate,meprobamate
Thiethylperazine,thiethylperazine
Trihexyphenidyl,trihexyphenidyl
Levonorgestrel,norgestrel
Cidofovir,cidofovir
Dexrazoxane,dexrazoxane
Timolol,timolol
Tacrine,"tacrine, cognex"
Amlodipine,amlodipine besylate
Sulpiride,sulpiride
Triamterene,triamterene
Procyclidine,procyclidine hydrochloride
Oxyphencyclimine,oxyphencyclimine
Nimodipine,nimodipine
Progesterone,progesterone
Profenamine,isothamine(profenamine)
Beclomethasone dipropionate,beclomethasonedipropionate(beclometasone-dipropionate)
Zoledronic acid,zoledronic acid
Phenylephrine,phenylephrine
Carbimazole,carbimazole
Nisoldipine,nisoldipine
Alprazolam,alprazolam
Loxapine,loxapine
Carisoprodol,carisoprodol
Eszopiclone,"eszopiclone, lunesta"
Sorafenib,sorafenib
Remoxipride,remoxipride
Ampicillin,ampicillin
Phenoxymethylpenicillin,phenoxymethylpenicillin
Gentian violet cation,gentian violet
Secobarbital,secobarbital
Promazine,promazine
Rosiglitazone,rosiglitazone
Zolpidem,zolpidem
Methylphenidate,methylphenidate
Pramipexole,pramipexole
Methocarbamol,methocarbamol
Carbamoylcholine,carbamylcholine
Streptozocin,streptozocin
Prochlorperazine,phenobarbital
Cefpiramide,cefpiramide
Cyproheptadine,cyproheptadine
Bendroflumethiazide,bendroflumethiazide
Cerivastatin,cerivastatin
Epirubicin,epirubicin
Teniposide,teniposide
Gemcitabine,gemcitabine
Meperidine,meperidine
Droperidol,droperidol
Loratadine,loratadine
Prazosin,prazosin
Loracarbef,loracarbef
Cefalotin,cephalotin
Imipramine,imipramine
Lansoprazole,lansoprazole
Framycetin,framycetin
Metharbital,metharbital
Dronabinol,dronabinol
Levothyroxine,levothyroxine
Tenoxicam,tenoxicam
Acitretin,acitretin
Methohexital,151-83-7
Fluoxetine,fluoxetine
Chlorpromazine,50-53-3
Duloxetine,duloxetine
Raloxifene,raloxifene
Celecoxib,"celecoxib, celebrex"
Pefloxacin,pefloxacin
Nabilone,nabilone
Dicloxacillin,dicloxacillin
Sotalol,sotalol
Buspirone,buspirone
Brimonidine,brimonidine
Miglitol,miglitol
Zidovudine,zidovudine
Darifenacin,darifenacin
Oxycodone,oxycodone
Cimetidine,cimetidine (y-g1)
Altretamine,altretamine
Haloperidol,haloperidol
Levallorphan,levallorphan
Cefotaxime,cefotaxime
Triflupromazine,trifluopromazine
Entacapone,entacapone
Dextromethorphan,dextromethorphan
Tridihexethyl,tridihexethyl chloride
Nitazoxanide,nitazoxanide
Carteolol,carteolol
Flutamide,flutamide
Aminocaproic acid,aminocaproic acid
Trandolapril,trandolapril
Metolazone,metolazone
Tolnaftate,tolnaftate
Foscarnet,mesna
Rofecoxib,"rofecoxib, vioxx"
Cinchocaine,dibucaine
Mephenytoin,mephenytoin
Lercanidipine,lercanidipine
Nortriptyline,nortriptyline
Ciprofloxacin,ciprofloxacin
Amoxapine,amoxapine
Erlotinib,"tarceva, erlotinib"
Cefdinir,cefdinir
Fluorouracil,5-fluorouracil
Adinazolam,adinazolam
Guanidine,guanidine
Desoximetasone,desoximetasone
Cyclophosphamide,cyclophosphamide
Benazepril,benazepril
Toremifene,toremifene
Azelaic acid,gr94839_c
Lamotrigine,lamotrigine
Pentostatin,pentostatin
Hydroxyzine,hydroxyzine
Zafirlukast,zafirlukast
Acetohydroxamic acid,acetohydroxamic acid
Methoxsalen,methoxsalen
Doxapram,doxapram
Methotrexate,methotrexate
Carbamazepine,carbamazepine
Perflutren,perflutren
Cephalexin,cephalexin
Zanamivir,zanamivir
Propylthiouracil,propylthiouracil
Propranolol,upcmld-dp067
Clonidine,2pnc
Bosentan,bosentan
Benzthiazide,benzthiazide
Cinnarizine,cinnarizine
Mazindol,mazindol
Fenfluramine,fenfluramine
Sulfamethizole,sulfamethizole
Diclofenac,diclofenac
